rank,player_id,player_name,country,highest_paying_game,total_overall_usd,total_game_usd,pct_of_total_num,source_url
315,Chapix,Moussa Faour,Sweden,Fortnite,755193.13,755193.13,100,https://www.esportsearnings.com/players/highest-earnings-top-400
316,TaZ,Wiktor Wojtas,Poland,Counter-Strike: Global Offensive,748924.02,602678.3,80.47,https://www.esportsearnings.com/players/highest-earnings-top-400
317,JinYu,"Xu, Xiangyu",China,Arena of Valor,748529.03,748529.03,100,https://www.esportsearnings.com/players/highest-earnings-top-400
318,Bance,Benjamin Bance,United Kingdom,Call of Duty: Black Ops Cold War,748429.9400000001,285000,38.08,https://www.esportsearnings.com/players/highest-earnings-top-400
319,WuMing,"Zhang, Cong",China,Arena of Valor,748209.8200000001,748209.8200000001,100,https://www.esportsearnings.com/players/highest-earnings-top-400
320,Peng,"Lu, Jiapeng",China,Arena of Valor,746670.71,746670.71,100,https://www.esportsearnings.com/players/highest-earnings-top-400
321,kennyS,Kenny Schrub,France,Counter-Strike: Global Offensive,746091.3600000001,737398.91,98.83,https://www.esportsearnings.com/players/highest-earnings-top-400
322,frozen,David ÄerÅanskÃ½,Slovakia,Counter-Strike: Global Offensive,742931.99,424131.99000000005,57.09,https://www.esportsearnings.com/players/highest-earnings-top-400
323,Hen,Henrik Mclean,United Kingdom,Fortnite,741565.8400000001,741565.8400000001,100,https://www.esportsearnings.com/players/highest-earnings-top-400
324,Qfeng,"Du, Zhou",China,Arena of Valor,741420.61,741420.61,100,https://www.esportsearnings.com/players/highest-earnings-top-400
325,ChuaN,"Wong, Hock Chuan",Malaysia,Dota 2,741416.26,714482.8600000001,96.36999999999999,https://www.esportsearnings.com/players/highest-earnings-top-400
326,Mongraal,Kyle Jackson,United Kingdom,Fortnite,739729.23,739729.23,100,https://www.esportsearnings.com/players/highest-earnings-top-400
327,sjuush,Rasmus Beck,Denmark,Counter-Strike: Global Offensive,736547.3600000001,617163.09,83.79,https://www.esportsearnings.com/players/highest-earnings-top-400
328,qc,"Xu, Jiajun",China,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,736226.13,736226.13,100,https://www.esportsearnings.com/players/highest-earnings-top-400
329,merstachhh,Andrej Piratov,Latvia,Fortnite,736131.7899999999,736131.7899999999,100,https://www.esportsearnings.com/players/highest-earnings-top-400
330,Wisper,AdriÃ¡n Dobles,Bolivia,Dota 2,735947.87,735947.87,100,https://www.esportsearnings.com/players/highest-earnings-top-400
331,Skyz,Cesar Bueno,United States,Call of Duty: Modern Warfare II,734525,369500,50.3,https://www.esportsearnings.com/players/highest-earnings-top-400
332,SabeRLight-,JonÃ¡Å¡ Volek,Czech Republic,Dota 2,730227.57,730227.57,100,https://www.esportsearnings.com/players/highest-earnings-top-400
333,Crue,Theo Ferrer,Sweden,Fortnite,728500,728500,100,https://www.esportsearnings.com/players/highest-earnings-top-400
334,Emo,"Zhou, Yi",China,Dota 2,728235.9,728235.9,100,https://www.esportsearnings.com/players/highest-earnings-top-400
335,TY,"Jun, Tae Yang","Korea, Republic of",StarCraft II,727444.42,700247.12,96.26,https://www.esportsearnings.com/players/highest-earnings-top-400
336,Byshow,"Fang, Qingyou",China,Arena of Valor,724667,724667,100,https://www.esportsearnings.com/players/highest-earnings-top-400
337,MSdossary7,Mossad Aldossary,Saudi Arabia,FIFA 18,724097.02,284500,39.290000000000006,https://www.esportsearnings.com/players/highest-earnings-top-400
338,MSS,Arif Anwar,United States,Dota 2,723577.98,723577.98,100,https://www.esportsearnings.com/players/highest-earnings-top-400
339,Edward,Ioann Sukharev,Ukraine,Counter-Strike: Global Offensive,721868.24,616098.02,85.35,https://www.esportsearnings.com/players/highest-earnings-top-400
340,Scofield,Scofield leches Gomez,Peru,Dota 2,721423.07,721423.07,100,https://www.esportsearnings.com/players/highest-earnings-top-400
341,MMing,"Chen, Yinan",China,PLAYERUNKNOWNâS BATTLEGROUNDS,720366.12,720366.12,100,https://www.esportsearnings.com/players/highest-earnings-top-400
342,pyw,"Xiong, Jiahan",China,Dota 2,717764.8200000001,717764.8200000001,100,https://www.esportsearnings.com/players/highest-earnings-top-400
343,zont1x,Myroslav Plakhotia,Ukraine,Counter-Strike 2,714263.47,667775,93.49000000000001,https://www.esportsearnings.com/players/highest-earnings-top-400
344,JKap,Jordan Kaplan,United States,Call of Duty: Black Ops III,714188.81,231332.5,32.39,https://www.esportsearnings.com/players/highest-earnings-top-400
345,Aydan,Aydan Conrad,United States,Call of Duty: Warzone,711936.69,460795.03,64.72,https://www.esportsearnings.com/players/highest-earnings-top-400
346,cadiaN,Casper MÃ¸ller,Denmark,Counter-Strike: Global Offensive,708873.01,614848.01,86.74000000000001,https://www.esportsearnings.com/players/highest-earnings-top-400
347,jks,Justin Savage,Australia,Counter-Strike: Global Offensive,706851.43,660951.43,93.51,https://www.esportsearnings.com/players/highest-earnings-top-400
348,garder,"Liu, Xinzhou",China,Dota 2,705536.2,705536.2,100,https://www.esportsearnings.com/players/highest-earnings-top-400
349,Loda,Jonathan Berg,Sweden,Dota 2,705204.72,697159.25,98.86,https://www.esportsearnings.com/players/highest-earnings-top-400
350,Inonix,"Na, Hee Joo","Korea, Republic of",PLAYERUNKNOWNâS BATTLEGROUNDS,703435.1699999999,703435.1699999999,100,https://www.esportsearnings.com/players/highest-earnings-top-400
351,Tfue,Turner Tenney,United States,Fortnite,702825.01,628400,89.41000000000001,https://www.esportsearnings.com/players/highest-earnings-top-400
352,Cooper,Cooper Smith,United States,Fortnite,702342.5,702342.5,100,https://www.esportsearnings.com/players/highest-earnings-top-400
353,Ethan,Ethan Arnold,United States,Counter-Strike: Global Offensive,701647.05,399880.38,56.99,https://www.esportsearnings.com/players/highest-earnings-top-400
354,Flash,"Lee, Young Ho","Korea, Republic of",StarCraft: Brood War,700820.76,460146.33999999997,65.66,https://www.esportsearnings.com/players/highest-earnings-top-400
355,Khanada,Leon Khim,United States,Fortnite,699624.6699999999,699624.6699999999,100,https://www.esportsearnings.com/players/highest-earnings-top-400
356,Eco,Kevin Smith,United States,Halo Infinite,697650,421325,60.39,https://www.esportsearnings.com/players/highest-earnings-top-400
357,Ax1Le,Sergey Rykhtorov,Russian Federation,Counter-Strike: Global Offensive,696999.76,627296.9500000001,90,https://www.esportsearnings.com/players/highest-earnings-top-400
358,stavn,Martin Lund,Denmark,Counter-Strike: Global Offensive,696912.63,556137.63,79.8,https://www.esportsearnings.com/players/highest-earnings-top-400
359,iLLeY,Indervir Dhaliwal,Canada,Call of Duty: Modern Warfare,696553.3300000001,353500,50.75,https://www.esportsearnings.com/players/highest-earnings-top-400
360,DaShuai,"Meng, Jiajun",China,Arena of Valor,693089.3600000001,693089.3600000001,100,https://www.esportsearnings.com/players/highest-earnings-top-400
361,Canyon,"Kim, Geon Bu","Korea, Republic of",League of Legends,692839.49,692839.49,100,https://www.esportsearnings.com/players/highest-earnings-top-400
362,Xz,"Chen, Zezhi",China,Dota 2,692327.42,692327.42,100,https://www.esportsearnings.com/players/highest-earnings-top-400
363,herO,"Kim, Joon Ho","Korea, Republic of",StarCraft II,690347.49,689371.7,99.86,https://www.esportsearnings.com/players/highest-earnings-top-400
364,Zest,"Joo, Sung Wook","Korea, Republic of",StarCraft II,690082.59,690082.59,100,https://www.esportsearnings.com/players/highest-earnings-top-400
365,Beizhai,"Ma, Run",China,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,689790.8200000001,669790.8200000001,97.1,https://www.esportsearnings.com/players/highest-earnings-top-400
366,GAI,"Yang, Tingpu",China,Arena of Valor,688016.2799999999,688016.2799999999,100,https://www.esportsearnings.com/players/highest-earnings-top-400
367,Armel,Armel Paul Tabios,Philippines,Dota 2,687905.69,687905.69,100,https://www.esportsearnings.com/players/highest-earnings-top-400
368,Impact,"Jung, Eon Yeong","Korea, Republic of",League of Legends,686649.73,686649.73,100,https://www.esportsearnings.com/players/highest-earnings-top-400
369,XiaoYing,"Tang, Jiajie",China,Arena of Valor,686023.1799999999,686023.1799999999,100,https://www.esportsearnings.com/players/highest-earnings-top-400
370,TruleX,Nikola Krudulj,Serbia,Fortnite,685937,685937,100,https://www.esportsearnings.com/players/highest-earnings-top-400
371,QiaoXi,"Zeng, Qinglong",China,Arena of Valor,684334.9600000001,684334.9600000001,100,https://www.esportsearnings.com/players/highest-earnings-top-400
372,StelluR,Braedon Boettcher,United States,Halo Infinite,683050,422125,61.8,https://www.esportsearnings.com/players/highest-earnings-top-400
373,Classic,"Kim, Doh Woo","Korea, Republic of",StarCraft II,682687.26,678860.92,99.44000000000001,https://www.esportsearnings.com/players/highest-earnings-top-400
374,HuaJuan,"Wu, Yutao",China,Arena of Valor,681112.54,681112.54,100,https://www.esportsearnings.com/players/highest-earnings-top-400
375,Fade,"Pan, Yi",China,Dota 2,680524.49,680524.49,100,https://www.esportsearnings.com/players/highest-earnings-top-400
376,EGM,Jerry Lundqvist,Sweden,Dota 2,677630.08,677630.08,100,https://www.esportsearnings.com/players/highest-earnings-top-400
377,QianShi,"Zhou, Kuan",China,Arena of Valor,677281.37,677281.37,100,https://www.esportsearnings.com/players/highest-earnings-top-400
378,Even,"Zheng, Pengfei",China,CrossFire,676528.1,676528.1,100,https://www.esportsearnings.com/players/highest-earnings-top-400
379,ubah,Ivan Kapustin,Russian Federation,PLAYERUNKNOWNâS BATTLEGROUNDS,676467.7699999999,671953.09,99.33,https://www.esportsearnings.com/players/highest-earnings-top-400
380,TekKz,Donovan Hunt,United Kingdom,FIFA 19,672494.8,271125,40.32,https://www.esportsearnings.com/players/highest-earnings-top-400
381,Cammy,Cameron McKilligan,United Kingdom,Call of Duty: Black Ops Cold War,671650,286250,42.620000000000005,https://www.esportsearnings.com/players/highest-earnings-top-400
382,Solar,"Kang, Min Soo","Korea, Republic of",StarCraft II,669945,669030.37,99.86,https://www.esportsearnings.com/players/highest-earnings-top-400
383,nafany,Vladislav Gorshkov,Russian Federation,Counter-Strike: Global Offensive,669061.73,608833.92,91,https://www.esportsearnings.com/players/highest-earnings-top-400
384,Lyn,"Park, Joon","Korea, Republic of",WarCraft III,668434.3600000001,470667.05,70.41000000000001,https://www.esportsearnings.com/players/highest-earnings-top-400
385,sOs,"Kim, Yoo Jin","Korea, Republic of",StarCraft II,665449.8400000001,664999.39,99.93,https://www.esportsearnings.com/players/highest-earnings-top-400
386,Reps,Jordan Wolfe,United States,Apex Legends,665059.65,663709.65,99.8,https://www.esportsearnings.com/players/highest-earnings-top-400
387,Bizzle,Timothy Miller,United States,Fortnite,664776.39,664776.39,100,https://www.esportsearnings.com/players/highest-earnings-top-400
388,Rookie,"Song, Eui Jin","Korea, Republic of",League of Legends,664528.8,664528.8,100,https://www.esportsearnings.com/players/highest-earnings-top-400
389,BriD,LoÃ¯c Chongthep,France,Rainbow Six Siege,664125.6699999999,664125.6699999999,100,https://www.esportsearnings.com/players/highest-earnings-top-400
390,XBOCT,Oleksandr Dashkevych,Ukraine,Dota 2,663158.09,661771.48,99.79,https://www.esportsearnings.com/players/highest-earnings-top-400
391,Vatira,Axel Touret,France,Rocket League,662269.07,662269.07,100,https://www.esportsearnings.com/players/highest-earnings-top-400
392,Knight,"Zhuo, Ding",China,League of Legends,661936.39,661936.39,100,https://www.esportsearnings.com/players/highest-earnings-top-400
393,Ming,"Chen, Haoming",China,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,661496.3200000001,655496.3200000001,99.09,https://www.esportsearnings.com/players/highest-earnings-top-400
394,Kickstart,Matt Smith,United States,PLAYERUNKNOWNâS BATTLEGROUNDS,658509.19,658509.19,100,https://www.esportsearnings.com/players/highest-earnings-top-400
395,Meiko,"Tian, Ye",China,League of Legends,653537.31,653537.31,100,https://www.esportsearnings.com/players/highest-earnings-top-400
396,Shiki,"Huang, Jiwei",China,Dota 2,653514.3300000001,653514.3300000001,100,https://www.esportsearnings.com/players/highest-earnings-top-400
397,Vadeal,Alexander Schlik,Germany,Fortnite,653192.8,653192.8,100,https://www.esportsearnings.com/players/highest-earnings-top-400
398,Keria,"Ryu, Min Seok","Korea, Republic of",League of Legends,652893.12,652893.12,100,https://www.esportsearnings.com/players/highest-earnings-top-400
399,ByuN,"Byun, Hyun Woo","Korea, Republic of",StarCraft II,651766.1699999999,651693.88,99.99000000000001,https://www.esportsearnings.com/players/highest-earnings-top-400
400,Taiga,Tommy Le,Norway,Dota 2,651478.8600000001,650481.09,99.85,https://www.esportsearnings.com/players/highest-earnings-top-400
401,Viol2t,"Park, Min Ki","Korea, Republic of",Overwatch,651349.2899999999,413853.57,63.54,https://www.esportsearnings.com/players/highest-earnings-top-500
402,Akke,Joakim Akterhall,Sweden,Dota 2,648738.7,641938.81,98.95,https://www.esportsearnings.com/players/highest-earnings-top-500
403,TheShy,"Kang, Seung Lok","Korea, Republic of",League of Legends,647773.3300000001,647773.3300000001,100,https://www.esportsearnings.com/players/highest-earnings-top-500
404,Gachikun,"Kanamori, Tsunehiro",Japan,Street Fighter 6,646084.53,315596.85,48.849999999999994,https://www.esportsearnings.com/players/highest-earnings-top-500
405,soO,"Eu, Yoon Su","Korea, Republic of",StarCraft II,645423.06,636408.2699999999,98.6,https://www.esportsearnings.com/players/highest-earnings-top-500
406,Daniel,Daniel Piecenski,United States,Rocket League,642853.38,642853.38,100,https://www.esportsearnings.com/players/highest-earnings-top-500
407,M1ME,Austin Scherff,United States,PLAYERUNKNOWNâS BATTLEGROUNDS,641695.19,641695.19,100,https://www.esportsearnings.com/players/highest-earnings-top-500
408,Nannnnn,"Li, Nanjiang",China,PLAYERUNKNOWNâS BATTLEGROUNDS,641141.6,641141.6,100,https://www.esportsearnings.com/players/highest-earnings-top-500
409,XingHen,"Wang, Keqin",China,Arena of Valor,640260.5,640260.5,100,https://www.esportsearnings.com/players/highest-earnings-top-500
410,Rush,Will Wierzba,United States,Counter-Strike: Global Offensive,640176.87,634476.87,99.11,https://www.esportsearnings.com/players/highest-earnings-top-500
411,Tommey,Thomas Trewren,United Kingdom,Call of Duty: Warzone,640049.2799999999,427563.67,66.8,https://www.esportsearnings.com/players/highest-earnings-top-500
412,BuRan,"Ye, Kang",China,Arena of Valor,638676.4500000001,638676.4500000001,100,https://www.esportsearnings.com/players/highest-earnings-top-500
413,AdmiralBulldog,Henrik Ahnberg,Sweden,Dota 2,638187.73,637562.73,99.9,https://www.esportsearnings.com/players/highest-earnings-top-500
414,Yisheng,"Li, Ziwei",China,Arena of Valor,637692.16,637692.16,100,https://www.esportsearnings.com/players/highest-earnings-top-500
415,Stats,"Kim, Dae Yeob","Korea, Republic of",StarCraft II,637665.08,632346.19,99.16999999999999,https://www.esportsearnings.com/players/highest-earnings-top-500
416,Chovy,"Jeong, Ji Hoon","Korea, Republic of",League of Legends,635484.6699999999,635484.6699999999,100,https://www.esportsearnings.com/players/highest-earnings-top-500
417,stompy,Klaus Konstanzer,Austria,Fortnite,634421.9400000001,634421.9400000001,100,https://www.esportsearnings.com/players/highest-earnings-top-500
418,XANTARES,Ä°smailÑan DÃ¶rtkardeÅ,Turkey,Counter-Strike: Global Offensive,632910.93,430735.93000000005,68.06,https://www.esportsearnings.com/players/highest-earnings-top-500
419,Taemin,"Kang, Tae Min","Korea, Republic of",PLAYERUNKNOWNâS BATTLEGROUNDS,632268.8400000001,632268.8400000001,100,https://www.esportsearnings.com/players/highest-earnings-top-500
420,YawaR,Yawar Hassan,Pakistan,Dota 2,630136.6,630136.6,100,https://www.esportsearnings.com/players/highest-earnings-top-500
421,Kjaerbye,Markus KjÃ¦rbye,Denmark,Counter-Strike: Global Offensive,627146.93,623296.93,99.39,https://www.esportsearnings.com/players/highest-earnings-top-500
422,GeT_RiGhT,Christopher Alesund,Sweden,Counter-Strike: Global Offensive,626721.76,522015.39,83.29,https://www.esportsearnings.com/players/highest-earnings-top-500
423,BeastMode,Landon Konerman,United States,Rocket League,626291.02,626291.02,100,https://www.esportsearnings.com/players/highest-earnings-top-500
424,ZpYan1,"Zhou, Pinyan",China,PLAYERUNKNOWNâS BATTLEGROUNDS,625229.63,625229.63,100,https://www.esportsearnings.com/players/highest-earnings-top-500
425,pashaBiceps,JarosÅaw JarzÄbkowski,Poland,Counter-Strike: Global Offensive,625065.15,578384.06,92.53,https://www.esportsearnings.com/players/highest-earnings-top-500
426,Edgey,Ben Peterson,United States,Fortnite,622638.15,622638.15,100,https://www.esportsearnings.com/players/highest-earnings-top-500
427,Prestinni,Preston Sanderson,United States,Call of Duty: Black Ops 4,622473.43,317975,51.08,https://www.esportsearnings.com/players/highest-earnings-top-500
428,Qikert,Aleksei Golubev,Kazakhstan,Counter-Strike: Global Offensive,621616.63,604154.13,97.19,https://www.esportsearnings.com/players/highest-earnings-top-500
429,GuiQi,"Shuang, Xiaojun",China,Arena of Valor,620972.51,620972.51,100,https://www.esportsearnings.com/players/highest-earnings-top-500
430,Baolan,"Wang, Liuyi",China,League of Legends,619658.3500000001,619658.3500000001,100,https://www.esportsearnings.com/players/highest-earnings-top-500
431,Clix,Cody Conrod,United States,Fortnite,619137.7899999999,619137.7899999999,100,https://www.esportsearnings.com/players/highest-earnings-top-500
432,Attach,Dillon Price,United States,Call of Duty: Advanced Warfare,617898.3500000001,145954.5,23.62,https://www.esportsearnings.com/players/highest-earnings-top-500
433,Febby,"Kim, Yong Min","Korea, Republic of",Dota 2,616244.3500000001,616244.3500000001,100,https://www.esportsearnings.com/players/highest-earnings-top-500
434,Tokido,"Taniguchi, Hajime",Japan,Street Fighter V: Arcade Edition,613805.6799999999,253282.94999999998,41.260000000000005,https://www.esportsearnings.com/players/highest-earnings-top-500
435,Chris Luck,Jean Pierre Gonzales,Peru,Dota 2,611364.54,611364.54,100,https://www.esportsearnings.com/players/highest-earnings-top-500
436,Pollo,- -,Mexico,Fortnite,611125,611125,100,https://www.esportsearnings.com/players/highest-earnings-top-500
437,PHzin,Paulo Henrique Chaves,Brazil,FIFA 23,610235.02,239500,39.25,https://www.esportsearnings.com/players/highest-earnings-top-500
438,Mugi,- -,Japan,Clash Royale,608918.88,608918.88,100,https://www.esportsearnings.com/players/highest-earnings-top-500
439,chrisJ,Christiaan de Jong,Netherlands,Counter-Strike: Global Offensive,608724.3200000001,608248.7899999999,99.92,https://www.esportsearnings.com/players/highest-earnings-top-500
440,Mikoto,Rafli Fathur Rahman,Indonesia,Dota 2,608522.71,608522.71,100,https://www.esportsearnings.com/players/highest-earnings-top-500
441,trk511,Mohammed Alotaibi,Saudi Arabia,Rocket League,608419.12,608419.12,100,https://www.esportsearnings.com/players/highest-earnings-top-500
442,ShenRen,"Ma, Tengfei",China,Arena of Valor,606346.53,606346.53,100,https://www.esportsearnings.com/players/highest-earnings-top-500
443,Apathy,Bryan Zhelyazkov,United States,Call of Duty: Black Ops III,605618.93,228332.5,37.7,https://www.esportsearnings.com/players/highest-earnings-top-500
444,Oner,"Moon, Hyeon Joon","Korea, Republic of",League of Legends,604158.99,604158.99,100,https://www.esportsearnings.com/players/highest-earnings-top-500
445,Inflame,"He, Yongzheng",China,Dota 2,601854.15,601854.15,100,https://www.esportsearnings.com/players/highest-earnings-top-500
446,Gumayusi,"Lee, Min Hyeong","Korea, Republic of",League of Legends,601721.4,601721.4,100,https://www.esportsearnings.com/players/highest-earnings-top-500
447,Ferrari_430,"Luo, Feichi",China,Dota 2,597877.06,573874.4500000001,95.99000000000001,https://www.esportsearnings.com/players/highest-earnings-top-500
448,FengJie,"Jiang, Longhui",China,Arena of Valor,597404.53,597404.53,100,https://www.esportsearnings.com/players/highest-earnings-top-500
449,Ning,"Gao, Zhenning",China,League of Legends,596966.58,596966.58,100,https://www.esportsearnings.com/players/highest-earnings-top-500
450,Verhulst,Evan Verhulst,United States,Apex Legends,595966.66,595966.66,100,https://www.esportsearnings.com/players/highest-earnings-top-500
451,Seikoo,Enzo Grondein,France,Rocket League,594530.1799999999,594530.1799999999,100,https://www.esportsearnings.com/players/highest-earnings-top-500
452,Scrappy,Thomas Ernst,United States,Call of Duty: Modern Warfare II,594200,251000,42.24,https://www.esportsearnings.com/players/highest-earnings-top-500
453,MP,"Pyo, Noah","Korea, Republic of",Dota 2,592676.7699999999,592676.7699999999,100,https://www.esportsearnings.com/players/highest-earnings-top-500
454,HS,"Wang, Yanwen",China,PLAYERUNKNOWNâS BATTLEGROUNDS,592619.22,592619.22,100,https://www.esportsearnings.com/players/highest-earnings-top-500
455,StingeR,Steven Vargas,Peru,Dota 2,592510.7799999999,592510.7799999999,100,https://www.esportsearnings.com/players/highest-earnings-top-500
456,QO,"Kim, Sunyeob","Korea, Republic of",Dota 2,591322.7899999999,591322.7899999999,100,https://www.esportsearnings.com/players/highest-earnings-top-500
457,Kataomi`,Vladislav Semenov,Russian Federation,Dota 2,590561.2,590561.2,100,https://www.esportsearnings.com/players/highest-earnings-top-500
458,Neeb,Alex Sunderhaft,United States,StarCraft II,589720.9600000001,589644.76,99.99000000000001,https://www.esportsearnings.com/players/highest-earnings-top-500
459,369,"Bai, Jiahao",China,League of Legends,588115.4,588115.4,100,https://www.esportsearnings.com/players/highest-earnings-top-500
460,å¤©å®,"Zhang, Tianyu",China,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,587341.09,587341.09,100,https://www.esportsearnings.com/players/highest-earnings-top-500
461,Ohaiyo,"Khoo, Chong Xin",Malaysia,Dota 2,586016.52,586016.52,100,https://www.esportsearnings.com/players/highest-earnings-top-500
462,PerkZ,Luka PerkoviÄ,Croatia,League of Legends,585736.6,585736.6,100,https://www.esportsearnings.com/players/highest-earnings-top-500
463,Alpha54,Yanis Champenois,France,Rocket League,585503.21,585503.21,100,https://www.esportsearnings.com/players/highest-earnings-top-500
464,JKnaps,Jacob Knapman,Canada,Rocket League,585413.4500000001,585413.4500000001,100,https://www.esportsearnings.com/players/highest-earnings-top-500
465,Genburten,Noyan Ozkose,Australia,Apex Legends,585098.4600000001,585098.4600000001,100,https://www.esportsearnings.com/players/highest-earnings-top-500
466,K1,Hector Antonio Rodriguez,Peru,Dota 2,584841.6799999999,584841.6799999999,100,https://www.esportsearnings.com/players/highest-earnings-top-500
467,Chicago,Reed Wilen,United States,Rocket League,584540.38,584480.38,99.99000000000001,https://www.esportsearnings.com/players/highest-earnings-top-500
468,Chico,- -,Bosnia and Herzegovina,Fortnite,584428.1799999999,584428.1799999999,100,https://www.esportsearnings.com/players/highest-earnings-top-500
469,Renegade,Jonathan Willette,United States,Halo Infinite,583875,358250,61.36,https://www.esportsearnings.com/players/highest-earnings-top-500
470,byali,PaweÅ BieliÅski,Poland,Counter-Strike: Global Offensive,583489.51,583459.93,99.99000000000001,https://www.esportsearnings.com/players/highest-earnings-top-500
471,Ming,"Shi, Senming",China,League of Legends,582384.8400000001,582384.8400000001,100,https://www.esportsearnings.com/players/highest-earnings-top-500
472,Hurt,"Xia, Shengqqin",China,Arena of Valor,581507.8600000001,581507.8600000001,100,https://www.esportsearnings.com/players/highest-earnings-top-500
473,yANXNZ,Yan Xisto Nolasco,Brazil,Rocket League,580668.37,580668.37,100,https://www.esportsearnings.com/players/highest-earnings-top-500
474,torzsi,ÃdÃ¡m TorzsÃ¡s,Hungary,Counter-Strike 2,580551.22,427700,73.66999999999999,https://www.esportsearnings.com/players/highest-earnings-top-500
475,Thijs,Thijs Molendijk,Netherlands,Hearthstone,579189.66,523572.99000000005,90.4,https://www.esportsearnings.com/players/highest-earnings-top-500
476,Karsa,"Hung, Hau-Hsuan","Taiwan, Republic of China",League of Legends,575459.59,575459.59,100,https://www.esportsearnings.com/players/highest-earnings-top-500
477,Xm,"Guo, Hongcheng",China,Dota 2,574373.58,574373.58,100,https://www.esportsearnings.com/players/highest-earnings-top-500
478,LIP,"Lee, Jae Won","Korea, Republic of",Overwatch,573689.7899999999,374924.31,65.35,https://www.esportsearnings.com/players/highest-earnings-top-500
479,MrSavage,Martin Foss,Norway,Fortnite,572350.1799999999,572350.1799999999,100,https://www.esportsearnings.com/players/highest-earnings-top-500
480,Striker,"Kwon, Nam Joo","Korea, Republic of",Overwatch,571305.19,499876.62,87.5,https://www.esportsearnings.com/players/highest-earnings-top-500
481,Pred,Amer Zulbeari,Australia,Call of Duty: Modern Warfare III,570580,315000,55.21,https://www.esportsearnings.com/players/highest-earnings-top-500
482,Q,Worawit Mekchai,Thailand,Dota 2,567507.3400000001,567507.3400000001,100,https://www.esportsearnings.com/players/highest-earnings-top-500
483,old chicken,"Wang, Zhiyong",China,Dota 2,567040.7699999999,567040.7699999999,100,https://www.esportsearnings.com/players/highest-earnings-top-500
484,QianC,"Zhou, Yitao",China,Arena of Valor,566501.37,566501.37,100,https://www.esportsearnings.com/players/highest-earnings-top-500
485,Dubs,Daniel Walsh,United States,Fortnite,566279.99,566279.99,100,https://www.esportsearnings.com/players/highest-earnings-top-500
486,Firstkiller,Jason Corral,United States,Rocket League,562358.72,562358.72,100,https://www.esportsearnings.com/players/highest-earnings-top-500
487,RpK,CÃ©dric Guipouy,France,Counter-Strike: Global Offensive,562227.09,524870.9500000001,93.36,https://www.esportsearnings.com/players/highest-earnings-top-500
488,rezon ay,Lennard Sill,Germany,Fortnite,562085.9,562085.9,100,https://www.esportsearnings.com/players/highest-earnings-top-500
489,xertioN,Dorian Berman,Israel,Counter-Strike 2,560943.99,428300,76.35,https://www.esportsearnings.com/players/highest-earnings-top-500
490,Nayte,Nathan Berquignol,France,Fortnite,560308.75,560201.11,99.98,https://www.esportsearnings.com/players/highest-earnings-top-500
491,Limmp,Linus Blomdin,Sweden,Dota 2,559619.65,518945.79000000004,92.73,https://www.esportsearnings.com/players/highest-earnings-top-500
492,Blank,"Kang, Sun Gu","Korea, Republic of",League of Legends,559518.75,559518.75,100,https://www.esportsearnings.com/players/highest-earnings-top-500
493,Rw9,Saleh Bakhashwin,Saudi Arabia,Rocket League,558649.4400000001,558649.4400000001,100,https://www.esportsearnings.com/players/highest-earnings-top-500
494,hAKIS,John HÃ¥kansson,Sweden,Apex Legends,558094.6799999999,555961.51,99.61999999999999,https://www.esportsearnings.com/players/highest-earnings-top-500
495,JiuWei,"Xu, Xinzhen",China,Arena of Valor,557849.05,557849.05,100,https://www.esportsearnings.com/players/highest-earnings-top-500
496,John,Johnathan Perez,United States,Call of Duty: Black Ops III,555499.59,232707.5,41.89,https://www.esportsearnings.com/players/highest-earnings-top-500
497,Uzi,"Jian, Zihao",China,League of Legends,553869.6,553869.6,100,https://www.esportsearnings.com/players/highest-earnings-top-500
498,Ambition,"Kang, Chan Yong","Korea, Republic of",League of Legends,553454.41,553454.41,100,https://www.esportsearnings.com/players/highest-earnings-top-500
499,interz,Timofey Yakushin,Russian Federation,Counter-Strike: Global Offensive,553226.3400000001,542076.3400000001,97.98,https://www.esportsearnings.com/players/highest-earnings-top-500
500,BatulinS,Aleksandr Batulin,Russian Federation,PLAYERUNKNOWNâS BATTLEGROUNDS,550577.43,544077.43,98.82,https://www.esportsearnings.com/players/highest-earnings-top-500
501,Gabbi,Kim Villafuerte Santos,Philippines,Dota 2,550385.15,550385.15,100,https://www.esportsearnings.com/players/highest-earnings-top-600
502,Xizt,Richard LandstrÃ¶m,Sweden,Counter-Strike: Global Offensive,549513.99,513805.74,93.5,https://www.esportsearnings.com/players/highest-earnings-top-600
503,Mata,"Cho, Se Hyeong","Korea, Republic of",League of Legends,549295.4500000001,549295.4500000001,100,https://www.esportsearnings.com/players/highest-earnings-top-600
504,bin,"Chen, Zebin",China,League of Legends,549291.1799999999,549291.1799999999,100,https://www.esportsearnings.com/players/highest-earnings-top-600
505,GarrettG,Garrett Gordon,United States,Rocket League,549138.3600000001,548998.3600000001,99.97,https://www.esportsearnings.com/players/highest-earnings-top-600
